id,drug_id,sentence_index,sentences,SSI1,SSI2,SSI3,SSI4,SSI5,SSI6,SSI7,SSI8,SSI9,SSI10
217,lexapro.204,2,"took l0 mg lexapro in combination with .5 klonpin 3x a day, eliminated a cycle of depression and anxiety I had for 2 yrs.",depression,anxiety,,,,,,,,
218,lexapro.205,3,My anxiety is almost completely gone and my depressed mood has mostly lifted.,anxiety,depressed mood,,,,,,,,
219,lexapro.207,2,I have been taking meds for 6 years to treat anxiety and depression.,anxiety,depression,,,,,,,,
220,lexapro.207,19,"No sexual side effects, but it has not helped my anxiety or depression at all.",anxiety,depression,,,,,,,,
221,lexapro.208,5,I don't cry about every little thing anymore.,crying,,,,,,,,,
222,lexapro.208,6,I don't have the night sweats or fits of rage anymore.,night sweats,fits of rage,,,,,,,,
223,lexapro.209,1,"At 15 mg, nothing, but depression was not completely under control.",depression,,,,,,,,,
224,lexapro.209,2,"At 20 mg, depression was completely under control, but had weight gain and mild insomnia, o",depression,,,,,,,,,
225,lexapro.211,4,"I could hardly get out of bed I would have lost my job, because I had already called in to work a bit and was unable to function before I started lexapro.",hardly get out of bed,unable to function,,,,,,,,
226,lexapro.212,2,"I have a feeling of wellness and contentment; no anxiety attacks, no weight gain, no night sweats - i just feel like my old self - optimistic and upbeat.",anxiety attacks,weight gain,night sweats,,,,,,,
227,lexapro.213,5,"It worked at 10mg, but only relieved about 50% of a very severe depression.", very severe depression,,,,,,,,,
228,lexapro.213,6,Increased to 20mg 3 months ago and it fully resolved my depression.,depression,,,,,,,,,
229,lexapro.217,3,"Suffered from sporadic depression/anxiety for over 20 years, and had been in and out of counseling for about 18 years before trying lexapro.",depression,anxiety,,,,,,,,
230,lexapro.217,5,"Life had literally gotten unbearable, so about two years ago.",Life had literally gotten unbearable,,,,,,,,,
231,lexapro.218,2,Effective in reducing anxiety and depression in less than a week.,anxiety,depression,,,,,,,,
232,zoloft.2,1,"This medication caused me, like so many other people with bipolar disorder, to freak out.",bipolar disorder,,,,,,,,,
233,zoloft.2,3,Be careful of taking this if you have bipolar disorder!,bipolar disorder,,,,,,,,,
234,zoloft.3,5,that is  increased anxiety.,anxiety,,,,,,,,,
235,zoloft.5,1,"Took the pill for depression for a year and a half, extreme weight gain, no sex drive, even more depressed",depression,depressed,,,,,,,,
236,zoloft.8,1,"Increase in panic attacks / anxiety,  weight gain (10lbs), headaches and vivid dreams.",panic attacks,anxiety,,,,,,,,
237,zoloft.11,6,Ironically I am much more anxious and depressed than before I took this drug.,anxious,depressed,,,,,,,,
238,zoloft.12,9,Zoloft was prescribed to me to help with depression and if I knew that there were reported cases that this anti-depressant could increase the risk of suicide I NEVER would have agreed to take the medication.,depression,,,,,,,,,
239,zoloft.15,3,-later they found out i was bipolar so this could be the reason for the adverse reactions.,bipolar,,,,,,,,,
240,zoloft.15,4,this drug works well for my dad with unipolar major depression.,unipolar major depression,,,,,,,,,
241,zoloft.15,5,"-it didn't work for me, but i am bipolar.",bipolar,,,,,,,,,
242,zoloft.15,6,can be  dangerous to those who are manic depressive., manic depressive,,,,,,,,,
243,zoloft.16,2,depression got a lot worse after just being on it for just 3 days .,depression,,,,,,,,,
244,zoloft.21,1,"after taking just 2nd low dose sent my anxiety through the roofracing thoughts,didnt sleep on it plus a volcano of negative emotions racing inside me.",anxiety,,,,,,,,,
245,zoloft.26,4,I was severly depressed and breast-feeding my son so this was the only option I had at the time (it is considered safe for nursing babies)., severly depressed,,,,,,,,,
246,zoloft.26,7,"After much thought, I decided that the benefits of nursing outweighed the negligable risks of the meds,  And, to not treat the depression would have been plain stupid.",depression,,,,,,,,,
247,zoloft.37,3,This medication has made me more suicidal than I used to be.,suicidal,,,,,,,,,
248,zoloft.41,1,"increased anxiety, nausea, loss of appetite and weight,heartburn, diarrhea, eye twitching, jaw clenching, insomnia, have to take xanax in order to take Zoloft.",anxiety,,,,,,,,,
249,zoloft.43,2,Seems to make my anxiety worse.,anxiety,,,,,,,,,
250,zoloft.43,5,Has made my hypochondria worse.,hypochondria,,,,,,,,,
251,zoloft.44,1,increased anxiety during the afternoon which i dread.,anxiety,,,,,,,,,
252,zoloft.45,3,"My depression was eleviated but I still wasn't myself, even when I went up to 200 mg.",depression,,,,,,,,,
253,zoloft.47,2,"Ongoing loss of appetite, insomnia, jittery feeling, increased anxiety and depression.",anxiety,depression,,,,,,,,
254,zoloft.50,4,Anxiety is gone but still feel down. ,anxiety,feel down,,,,,,,,
255,zoloft.51,3,I've had major depression since my early teens.,depression,,,,,,,,,
256,zoloft.51,4,Got some help several years ago after a sucide attempt.,sucide attempt,,,,,,,,,
257,zoloft.53,2,Zoloft did help with my anxiety but the side effects were just to much to handle to the point that I would rather live with anxiety than to live with these ugly side effects.,anxiety,anxiety,,,,,,,,
258,zoloft.55,4,"Zoloft did nothing for my depression, just made me crave alcohol ( I was not a heavy drinker before or after taking Zoloft).",depression,,,,,,,,,
259,zoloft.58,4,"It did, however, fix the seratonin related imbalance, such as excessive crying and worrying.",excessive crying,worrying,,,,,,,,
260,zoloft.58,8,If you suspect depression.,depression,,,,,,,,,
261,zoloft.59,6,My depression is not serious so it looks like I will have to go down a more natural path to help myself.,depression,,,,,,,,,
262,zoloft.61,5,"I found this drug to not do much in the way of improving my anxiety problem, although it did work very well on depression.",anxiety,depression,,,,,,,,
263,zoloft.62,2,"I originally was on Zoloft for two or three years and then stopped taking it, but had started to develop symptoms of depression again about 2 1/2 years ago.",depression,,,,,,,,,
264,zoloft.62,9,"Despite the side effects, I have found Zoloft helpful in keeping my moods moderated, especially when I feel low (though, on the other hand, I also don't really ever feel extremely happy on it either).",feel low,,,,,,,,,
265,zoloft.63,3,"zoloft worked wonders for my depression,but after gaining a ton of weight and losing the desire to be intimate with my husband i have switched to wellbutrin xl.",depression,,,,,,,,,
266,zoloft.65,1,The first time I took Zoloft was for depression and explosive anger when I was 19 and it worked like a dream.,depression,explosive anger,,,,,,,,
267,zoloft.66,2,"i think there are better drugs out there now to treat anxiety and depression, this drug has far too many side effects for anyone to feel comfortable taking it.",anxiety,depression,,,,,,,,
268,zoloft.66,4,thoughts of suicide decreased.,thought of suicide,,,,,,,,,
269,zoloft.66,9,in conclusion there are better drugs out there to treat depression.,depression,,,,,,,,,
270,zoloft.69,4,I still feel depressed and have negative thoughts racing through my mind so I don't think 50mg is really enough for me.,feel depressed,negative thoughts,,,,,,,,
271,zoloft.71,4,But it did help with depression.,depression,,,,,,,,,
272,zoloft.74,2,I only take it now when I am having a particularly BAD day (suicidal).,suicidal,,,,,,,,,
273,zoloft.75,4,It seemed to stop severe depression and helped my mood enough so that with counselling and support I could eventually get on with my life.,severe depression ,,,,,,,,,
274,zoloft.77,4,During the first month or so I noticed a definite decrease in my anger and anxiety.,anger,anxiety,,,,,,,,
275,zoloft.77,6,I'm still depressed pretty bad and that has yet to go away.,depressed,,,,,,,,,
276,zoloft.77,7,"My anxiety is more under control, but not gone.",anxiety,,,,,,,,,
277,zoloft.78,2,Helped with depression but total lack of desire for sex,depression,,,,,,,,,
278,zoloft.80,2,"Still depressed, some times worse than others.",depressed,,,,,,,,,
279,zoloft.82,2,I was put on Zoloft for severe depression.,severe depression.,,,,,,,,,
280,zoloft.82,3,It has worked for my depression but the Dr. told me that it would help my RLS.,depression, RLS,,,,,,,,
281,zoloft.82,7,But it works great for my depression,depression,,,,,,,,,
282,zoloft.83,4,I have also noticed that my mood has improved and I'm not weepy like before.,mood has improved,weepy,,,,,,,,
283,zoloft.85,4,"The depression lifted a bit but the anxiety, head pressure, dizziness, insomnia were unbearable.",depression,,,,,,,,,
284,zoloft.86,10,I decided at this point the potential risk to my daughter was outweighed by my extreme mood swings/impatience/anger in general towards my kids.,extreme mood swings,impatience,anger,,,,,,,
285,zoloft.87,2,For treating major depression.,depression,,,,,,,,,
286,zoloft.90,2,"Has helped me with my anxiety and depression, though I still do worry alot, maybe more than before.",anxiety,depression,,,,,,,,
287,zoloft.91,1,"sweating, dry mouth, increased anxiety.",anxiety,,,,,,,,,
288,zoloft.91,3,took away all the depression I was experiencing for three months.,depression,,,,,,,,,
289,zoloft.91,4,"after 2 years, I built up a tolerance and had to increase it from 50 mg to 100 mg. the depression was creeping back again.",depression,,,,,,,,,
290,zoloft.91,5,I found nutritional supplements to deal with the depression.,depression,,,,,,,,,
291,zoloft.91,8,It does nothing for the depression anymore but my body is too used to it to stop it,depression,,,,,,,,,
292,zoloft.92,4,It has also helped me out of a deep depression that zoloft could not do.,depression,,,,,,,,,
293,zoloft.94,9,"It did only allow me to think about one subject at a time other than my previous 9,846 thoughts in 2 minutes.","9,846 thoughts in 2 minutes",,,,,,,,,
294,zoloft.95,2,Was placed on Zoloft after suicide attempt.,suicide attempt,,,,,,,,,
295,zoloft.95,4,"Zoloft helped balance my mood after about a month, but the mania made my life more difficult.",balance my mood,mania,,,,,,,,
296,zoloft.96,1,"loss of sex drive, increase in anxiety.",anxiety,,,,,,,,,
297,zoloft.97,2,It didn't alleviate my depression or anxiety,depression,anxiety,,,,,,,,
298,zoloft.99,3,"I guess that's always better than feeling suicidal, right?",feeling suicidal,,,,,,,,,
299,zoloft.100,2,The first few months i was on Zoloft my depression and anxiety were definitely lifted.,depression,anxiety,,,,,,,,
300,zoloft.104,2,Within a week I felt my energy level increase and depressed/suicidal thoughts decrease.,depressed,suicidal thoughts,,,,,,,,
301,zoloft.104,3,"After a month some of the anxiety and self-destructive urges returned, but I feel more able to manage these episodes and they are less crushing.",anxiety,self-destructive urges,,,,,,,,
302,zoloft.104,5,"I still feel like ""myself"" but just less miserable and irritable.",miserable,irritable,,,,,,,,
303,zoloft.104,8,It has really helped for symptoms of depression and with less side affects than I was afraid of.,depression,,,,,,,,,
304,zoloft.108,3,"I stuck with it, and now I am realizing what a sad, pathetic, lonley, afraid, antisocial, hermit I used to be.",sad,pathetic,lonley,afraid, antisocial,hermit,,,,
305,zoloft.112,1,Initially went cycling like a yo-yo with mild mania and depression.,mild mania,depression,,,,,,,,
306,zoloft.112,6,"However, having severe depression, I had no choice but to stick with it Slow titration helped a lot.",depression,,,,,,,,,
307,zoloft.112,7,Didn't have depression under control until I added Lithium 300 mg as adjunct.,depression,,,,,,,,,
308,zoloft.112,8,Now depression-free for 5 years or so.,depression,,,,,,,,,
309,zoloft.113,4,My depression was gone until after about 5 months then the Zoloft just stopped working.,depression,,,,,,,,,
310,zoloft.113,12,It helpped me to feel the appropriate feelings for a situation instead of the all consuming feelings of doom and self loathing.,feelings of doom,self loathing,,,,,,,,
311,zoloft.113,13,Without antidepressants I am sure I would have kiled myself by now.,kiled myself,,,,,,,,,
312,zoloft.115,3,I no longer cry everyday and think of suicide everyday.,cry everyday, think of suicide,,,,,,,,
313,zoloft.116,3,"I've always had bouts of depression, I have a history of major anxiety to the point of it being physically painful, and developed OCD over time.",depression,major anxiety,physically painful,OCD ,,,,,,
314,zoloft.116,5,"I could not even lift my head up because of how depressed I felt, and it scared me.",depressed,,,,,,,,,
315,zoloft.116,9,"I must say that I noticed a dramatic difference- I'm always tired because of night shift, but I feel NO depression.",depression,,,,,,,,,
316,zoloft.116,11,"I stated I feel apathy, but I believe its because I feel apathy towards things that used to make me sad and depressed, and anxious.",sad,depressed,anxious,,,,,,,
317,zoloft.116,12,"As far as my OCD, I have less trouble dealing with my intrusive thoughts and am not a nervous wreck following my episodes.",OCD,intrusive thoughts,nervous,,,,,,,
318,zoloft.118,5,2nd time on med in 1999 it seemed to not even touch my anxiety/depression.,anxiety,depression,,,,,,,,
319,zoloft.120,2,"I had MAJOR panic attacks, obsessive thoughts, intrusive thoughts, general anxiety.",panic attacks,obsessive thoughts,intrusive thoughts,anxiety,,,,,,
320,zoloft.121,2,This medication has turned my life around; I'd been suffering from moderate to severe depression for decades and was afraid to take antidepressents until my doctor convinced me to at least try Zoloft for a while.,severe depression,,,,,,,,,
321,zoloft.123,2,Before being prescribed Zoloft I was very depressed and suicidal.,depressed,suicidal,,,,,,,,
322,zoloft.123,3,"After a few weeks on Zoloft it was amazing to me the way I felt (that is , not constantly depressed).",depressed,,,,,,,,,
323,zoloft.123,4,"I think it did make me sleepy because I was constantly napping, but that may also partly have been carried over from when I was depressed and unmedicated (I slept to avoid how I was feeling).",depressed,slept to avoid how I was feeling,,,,,,,,
324,zoloft.124,2,"The first 3 weeks of Zoloft (25mg), the anxiety had pretty much subsided (the clenched feeling in my chest was gone!",anxiety,clenched feeling in my chest,,,,,,,,
325,zoloft.124,4,but no real difference (some good days some bad days) with the depression.,depression,,,,,,,,,
326,zoloft.124,8,"Here- sometimes I felt more depressed, lethargic, and would get upset at things that normally wouldnt upset me, or felt too ""whatever happens is fine"" Went back down to 50mg 2x a week, 25mg5x a week.",depressed, lethargic,upset,,,,,,,
327,zoloft.124,12,"Also, my feeling of being able to trust others improved (guess I had mild paranoia that I didnt know I had).",paranoia,,,,,,,,,
328,zoloft.126,2,It worked better than any other medication I have ever taken for depression.,depression,,,,,,,,,
329,zoloft.127,4,"This medication is supposedly supposed to help with anxiety, but for me, I have to take a second medication for that.",anxiety,,,,,,,,,
330,zoloft.130,4,Zoloft has made all the difference in my life: I'm no longer depressed.,depressed,,,,,,,,,
331,zoloft.130,5,"The anxiety I experience is somewhat resistant, however, and Zoloft isn't really helping.",anxiety,,,,,,,,,
332,zoloft.130,6,"My doctor has prescribed a very low dose of Seroquel (off-label) to help the anxiety, but I haven't taken it.",anxiety,,,,,,,,,
333,zoloft.130,8,"So, I may need to try a different SSRI to see if it will help with the anxiety.",anxiety,,,,,,,,,
334,zoloft.131,6,"Even with all this I function normally & I am self employed, which is extremely stressful.",extremely stressful.,,,,,,,,,
335,zoloft.135,3,I stopped taking Zoloft because I was still having several months out of the year when I felt like it wasn't helping - I had no motivation and just wanted to sleep all day.,no motivation,wanted to sleep all day,,,,,,,,
336,zoloft.135,8,It helped get rid of the depression yet I still felt completely myself - not like a zombie at all.,depression,,,,,,,,,
337,zoloft.137,6,It helped a lot at the beginning when I had anxiety attacks and depression.,anxiety attacks,depression,,,,,,,,
338,zoloft.139,4,I started taking zoloft for depression and insomnia.,depression,insomnia,,,,,,,,
339,zoloft.139,5,"Thankfully, it took care of insomnia from the very first night.",insomnia,,,,,,,,,
340,zoloft.139,15,"Zoloft helped me a great deal, really helped me get out of a deep depression.",deep depression,,,,,,,,,
341,zoloft.140,1,"weight gain that I cannot shake, but other than that it is much easier staying on an even keel in my PM week, and my family doesn't have to tolerate an anxious B**** who wants nothing but to run away during that week. ",anxious,wants nothing but to run away,,,,,,,,
342,zoloft.141,5,I can tell I get less angry at things and sometimes less sad - the only complaint is not being able to express sadness.,angry,sad,,,,,,,,
343,zoloft.143,2,the irritablility is less than the irritability I had from PMS before taking zoloft.,irritability,PMS,,,,,,,,
344,zoloft.143,3,despite the side effects the medicine works very well for anxiety.,anxiety,,,,,,,,,
345,zoloft.143,4,I still have trouble waking up in the morning which I thought was depression but maybe I just have a sleep disorder., trouble waking up in the morning ,depression,,,,,,,,
346,zoloft.144,3,"Zoloft worked quickly and effectively at first, but eventually the weight gain it caused led to more depression (not to mention other health problems!)",depression,,,,,,,,,
347,zoloft.145,2,I love Zoloft because of the very few side effects and its effectiveness in treating my anxiety and depression.,anxiety,depression,,,,,,,,
348,zoloft.146,2,"It did help me with my depression and suicidal thoughts, but I have gained quite a bit of weight.",depression,suicidal thoughts,,,,,,,,
349,zoloft.146,3,I have to take an additional medication for anxiety.,anxiety,,,,,,,,,
350,zoloft.147,7,"i have great social anxiety again, lots of self-doubt, have not felt joy in a very long time.",social anxiety,self-doubt,not felt joy,,,,,,,
351,zoloft.149,3,Anxiety was greatly decreased within one hour of taking medication.,anxiety,,,,,,,,,
352,zoloft.150,3,"Works for my form of depression, however it has destroyed my sleeping patterns.",depression,,,,,,,,,
353,zoloft.151,2,"It works well with both the OCD and the depression, but I feel numb: nothing seems to affect my mood in good or bad ways.",OCD,depression,,,,,,,,
354,zoloft.152,4,"Helped the depression only quit taking it because it affected my job (the sleepiness) think it may have helped the anxiety, I remember I was able to cut back on my dosage of xanax.",depression,anxiety,,,,,,,,
355,zoloft.153,2,I've been taking it for 12 years for suicidal depression.,suicidal,depression,,,,,,,,
356,zoloft.153,3,"This drug has worked really well for my depression, and I feel is worth the side effects.",depression,,,,,,,,,
357,zoloft.161,1,"Loss of sex drive, however, the side effects of depression are much worse.",depression,,,,,,,,,
358,zoloft.161,3,Stopped me from thinking about suicide every single day for years.,thinking about suicide,,,,,,,,,
359,zoloft.164,2,It resolved my depession.,depression,,,,,,,,,
360,zoloft.165,2,"Anxiety increased tenfold, had panic attcks, disconnected/spaced out feeling.",anxiety,,,,,,,,,
361,zoloft.165,5,"I am only on 50mg but my insomnia is gone, my anxiety is under control, and I get depressed less often.",insomnia,anxiety,depressed,,,,,,,
362,zoloft.169,4,Completely silenced the endless tape loop in my head that kept telling me about all the horrible things that would probably happen.,endless tape loop in my head,all the horrible things that would probably happen,,,,,,,,
363,zoloft.170,5,"I was experiencing panic attacks and depression that was making me unable to come out of my room because I was to worried about what ""would happen"".",panic attacks,depression,unable to come out of my room,worried,,,,,,
364,zoloft.170,10,"The first month is rough, but it passes, it surely isnt worse then being scared of being in the kitchen because the knives are sharp.",scared of being in the kitchen because the knives are sharp,,,,,,,,,
365,zoloft.170,11,or not being able to get out of bed because facing the depression and feelings your having is to much of a load on your heart/mind to bother.,not being able to get out of bed,depression,to much of a load on your heart/mind,,,,,,,
366,zoloft.175,1,"Over a 10 yr period I have gained 70 lbs Other than that, it helped me with my anxiety attacks and depression.",anxiety attacks,depression,,,,,,,,
367,zoloft.175,3,"I used to have one negative thought that would snowball into two etc So with behavioral therapy and 100 mg a day of Zoloft, I was able to feel at ease.", negative thought,,,,,,,,,
368,zoloft.177,11,"Before this medicine, I could sinkand sink and sink into depression, seemingly without end.",depression,,,,,,,,,
369,zoloft.177,12,"The biggest gift of Zoloft, I'd say, is that it allows me to *think*; those of us severely depressed know that, even worse than the dysthymia, is the inability to read printed matter.",depressed,inability to read printed matter,,,,,,,,
370,zoloft.178,4,I spent over sixty years depressed before.,depressed,,,,,,,,,
371,zoloft.178,6,But in addition to eliminating the depression it also eliminated the highs.,depression,highs,,,,,,,,
372,zoloft.178,7,"(I used to consider myself a ""mini manic depressive"".)",manic depressive,,,,,,,,,
373,zoloft.182,1,"For the first couple weeks I was very tired, felt lethargic at times and more anxious at others.",anxious,,,,,,,,,
374,zoloft.182,6,"I have way more energy, actually crave social situations, when before I preferred solitude, I have a sex drive, and more confidence.",preferred solitude,,,,,,,,,
375,zoloft.182,9,"I still feel, my emotions are not numb (thank God), but I no longer internalize, and foster negative feelings.",internalize,negative feelings,,,,,,,,
376,zoloft.182,14,"I felt I was relatively normal, with just mild depression and anxiety, I certainly did not want to make my situation WORSE!",mild depression,anxiety,,,,,,,,
377,zoloft.182,18,"it is alot easier for anxious/depressed people, like most of us on this sight are/were to some degree, to report negative feedback.",anxious,depressed,,,,,,,,
378,zoloft.183,2,I had been taking Lexapro for about 5 years and it did little to help my anxiety.,anxiety,,,,,,,,,
379,zoloft.184,1,"None whatsoever, except more and more confidence that my chronic depression will never return.",depression,,,,,,,,,
380,zoloft.184,2,I seem to have been born depressed.,depressed,,,,,,,,,
381,zoloft.184,3,"Unhappy, often suicidal throughout childhood and adolescence.",often suicidal thoughts,,,,,,,,,
382,zoloft.184,5,"The older types worked up to a point, but there was always an underlying feeling that depression would emerge, and sometimes it did.",depression,,,,,,,,,
383,zoloft.185,4,I tried a couple other anti-depressants before Zoloft that either made me even more depressed or didn't help at all.,depressed,,,,,,,,,
384,zoloft.187,5,Can't we treat our depression and still have an orgasm?,depression,,,,,,,,,
385,zoloft.190,3,"After a few weeks that ended as well as my crying spells, my hate for life, and my suicidal thoughts.",crying spells, hate for life,suicidal thoughts,,,,,,,
386,zoloft.190,5,There were multiple occurances when I attempted to commit suicide.,attempted to commit suicide,,,,,,,,,
387,zoloft.190,9,I recommend this drug to anyone who needs help dealing with depression.,depression,,,,,,,,,
388,zoloft.190,10,"I have tried being on Effexor for a while, however, that drug caused nausea and increased suicidal thoughts.",suicidal thoughts,,,,,,,,,
389,zoloft.191,2,This is a great drug for depression and social anxiety.,depression,social anxiety,,,,,,,,
390,zoloft.191,4,"Before, people always made me nervous, anxious or just uncomfortable in some way.",people always made me nervous,people always made me anxious,people always made me uncomfortable,,,,,,,
391,zoloft.194,6,It did help the depression though.,depression,,,,,,,,,
392,zoloft.196,4,If I went to 200 mg/day I had more anxiety and restlessness.,anxiety,restlessness,,,,,,,,
393,zoloft.197,3,"I didn't even know what Social Anxiety Disorder was until a few months ago, only to find out that I had a pretty serious case of it beginning as a teenager.",social anxiety Disorder,,,,,,,,,
394,zoloft.197,4,"All these years I had just assumed that by nature I was anti-social and extremely shy, only to find out that millions of people suffer from SAD.",anti-social,extremely shy,,,,,,,,
395,zoloft.197,6,"It's not only controlling my anxiety and depression but it's controlling anger, and my thought process in general.",anxiety,depression,anger,,,,,,,
396,zoloft.197,7,"Before Zoloft I was easily confused, now I can think clearly and control my thoughts.",confused,,,,,,,,,
397,zoloft.198,3,"It prevents the mood swings I used to have, without making me feel spacey.",mood swings,,,,,,,,,
398,zoloft.199,2,Saved my life - it's amazing to go through life without the feeling of dread and hopelessness.,feeling of dread ,hopelessness,,,,,,,,
399,zoloft.200,1,"had much more energy, improvement in grades, felt fully rested every morning, weight loss, incredible improvement in general attitude, much less shy.",shy,,,,,,,,,
400,zoloft.200,3,i would suggest zoloft to anyone who has been diagnosed with depression,depression,,,,,,,,,
401,zoloft.202,3,but that could be due to the depression.,depression,,,,,,,,,
402,zoloft.203,5,"The only thing is I'm a little obsessive compulsive and that part of my personality has not been damped very muchin the long run, after a year of meds.",obsessive compulsive,,,,,,,,,
403,zoloft.203,7,"I battled for a long time if I should seek meds as a solution to my depression, and after one year and one dose increase to 100mg I feel like a person who is on top of my game.",depression,,,,,,,,,
404,zoloft.203,9,I always have the energy and positive attitude to do what I want - not the negative depressed attitude I used to have.,negative depressed attitude,,,,,,,,,
405,zoloft.203,10,I used to get very nervous about being around other people and interacting with others.,nervous about being around other people,,,,,,,,,
406,zoloft.203,13,Sometimes counseling just isnt enough to battle having little confidence in your self and a depressed attitude about life.,little confidence in your self,depressed attitude,,,,,,,,
407,zoloft.204,4,I was very depressed and felt as if I was always disoriented.,depressed, disoriented,,,,,,,,
408,zoloft.204,5,I wasn't able to sleep at night because I always felt like I was going crazy.,wasn't able to sleep at night ,going crazy,,,,,,,,
409,zoloft.204,7,I wanted to end my life and zoloft really has helped me kick the depression and suicidal thoughts.,wanted to end my life,depression,suicidal thoughts,,,,,,,
410,zoloft.207,1,"increased anxiety was the worst thing for me, but it went way down on day 4 or 5)  loose stool for 2 weeks, headache for 5 days, restless legs first 2 weeks.",anxiety,,,,,,,,,
411,zoloft.207,2,Overall not too bad comparing to LEXAPRO and previous paranoid state of mind.,paranoid,,,,,,,,,
412,zoloft.208,3,I went from being a disfunctional depressed person to moderatly happy.,disfunctional,depressed,,,,,,,,
413,zoloft.208,4,I started out at 25 mgs and over the years increased from 100-150)  For me the drug was great and helped with anxiety tremendously.,anxiety,,,,,,,,,
414,zoloft.211,4,"Zoloft, whereas it's not a cure helps to relieve my anxiety/depression or in the worst case helps to make it manageable.",anxiety,depression,,,,,,,,
415,zoloft.211,5,It took away the running tingling sensations running down my arms and neck.,tingling sensations running down my arms and neck,,,,,,,,,
416,zoloft.211,7,I use this in combination with a small dose of Elavil and/or Trazedone to improve sleep (my sleep quality is poor with or without Zolot).,sleep quality is poor,,,,,,,,,
417,zoloft.212,2,Anxiety in beginning just from the thought of taking med because I was already anxious.,anxious,,,,,,,,,
418,zoloft.213,2,"instead of isolating, I feel more at ease socially and I like being with people and feel especially close and grateful for my family,(our pet dogs Joei and Jadie) and loved one.",isolating,,,,,,,,,
419,cymbalta.6,5,"I am still having brain zaps here and there, and my anxiety has returned.",anxiety,,,,,,,,,
420,cymbalta.10,1,Was on Prozac 20mg and it was making me more depressed.,depressed,,,,,,,,,
421,cymbalta.11,15,but now I'm really depressed at,depressed,,,,,,,,,
422,cymbalta.16,4,It made my anxiety worse and I was quicker to anger than usual.,anxiety,anger,,,,,,,,
423,cymbalta.16,6,"I would not reccommend this drug to anyone with anxiety issues, as it was not a very big help.",anxiety,,,,,,,,,
424,cymbalta.18,3,Worked very well with minimal side effects but felt my anxiety was starting to get worse.,anxiety,,,,,,,,,
425,cymbalta.20,3,"I TRIED SUICIDE, BUT WHEN THAT DIDN'T WORK, I FELL COMPLETELY APART.",tried suicide,,,,,,,,,
426,cymbalta.26,9,"My memory loss worsened, as did my stutter, attention span, and depression.",memory loss,stutter,attention span,depression.,,,,,,
427,cymbalta.27,1,"Nausea, Insomnia, Constipation, Crying, Dry Mouth, Sexual, ""Speeding"", Worsening Depression, Thoughts of Suicide, Jaw Clenching, Heart Racing.",depression,,,,,,,,,
428,cymbalta.27,9,I would rather be depressed than feel like this-at least depression is predictable and I know it will end.,depressed,depression,,,,,,,,
429,cymbalta.29,2,"15 months later I'd gained 30 lbs, had horrible withdrawal effects each time I tried to come off of it including nausea, dizziness, fatigue, etc I finally had a dr help me wean off 7 months ago and since that time the depression has become worst than ever w/ suicidal thoughts at times, major irritability, lack of concentration, and a major loss of love and vigor for a life has dwindled.",depression,,,,,,,,,
430,cymbalta.30,2,She has depression and has tried many meds.,depression,,,,,,,,,
431,cymbalta.35,1,"dripping in sweat all the time, extreme fatigue, mucus coming out of my anus, feeling like I have to have a bowel movement several times an hour, constipation, and my depression is the same as when I wasn't on it.",depression,,,,,,,,,
432,cymbalta.38,4,The depression was not as bad as I feel on this medication.,depression,,,,,,,,,
433,cymbalta.39,1,"achiness, tiredness, restlessness, blurry vision, tingling in arms, legs and hands, increased anxiety, high blood pressure, belching, heartburn, loss of appetite, strange taste in mouth, alternating hot and cold spells, headaches, loss of feeling during sex.",anxiety,,,,,,,,,
434,cymbalta.40,2,"I was prescribed this medicine to help with depression and anxiety, but the side effects are awful.",depression,anxiety,,,,,,,,
435,cymbalta.41,8,Had 5 friends pass away from December 2014 to May of 2015 started getting depressed.,depressed,,,,,,,,,
436,cymbalta.43,1,"10 lb weight gain, increased amt panic attacks, anxiety. ",panic attacks,,,,,,,,,
437,cymbalta.44,2,took my first dose this A. M. Will struggle through to see if benefits outweigh this horrible feeling., horrible feeling,,,,,,,,,
438,cymbalta.47,3,"If that werent enough, it increases anxiety and thus has less value as an anti-depressant.", anxiety,,,,,,,,,
439,cymbalta.47,8,This drug caused me t. I have severe and chronic lower back pain with Fibromyalgia which resulted in my developing depression.,severe and chronic lower back pain, Fibromyalgia ,depression,,,,,,,
440,cymbalta.47,9,"Consequently, I was placed on anti-depressants to counteract the side effects of pain medication, and also because the constant pain sucked the life out of me.", constant pain,,,,,,,,,
441,cymbalta.49,1,"agitation; hostility; suicidial thoughts; increased pain; increased depression; muscle spasams in legs and feet; dry eye; increased blood pressure; heart palpitations; increased anxiety, etc Switched to Cymbalta because of claims that it helps with pain.",depression,pain,anxiety,,,,,,,
442,cymbalta.50,2,I lost a job spiraled into depression and anxiety.,depression ,anxiety,,,,,,,,
443,cymbalta.50,3,Prescribed Cymbalta and thought it helped overcome depression and anxiety because of job loss.,depression,anxiety,,,,,,,,
444,cymbalta.50,6,Less anxiety and depression but less life.,anxiety,depression,,,,,,,,
445,cymbalta.50,14,I want to feel even if it is depression.,depression,,,,,,,,,
446,cymbalta.53,3,"I sweated like crazy, I felt even more depressed than ever , I became anti social and my anxiety worsened.", depressed,anxiety,,,,,,,,
