id,drug_id,sentence_index,sentences,ADR1,ADR2,ADR3,ADR4,ADR5,ADR6,ADR7,ADR8,ADR9,ADR10,ADR11,ADR12,ADR13,ADR14,ADR15,ADR16,ADR17,ADR18,ADR19,ADR20,ADR21,ADR22,ADR23,ADR24,ADR25,ADR26,ADR27,ADR28,ADR29,ADR30
403,lexapro.124,3,"Lexapro has been great as far as balancing out my mood, and making me feel much less anxious and happy overall, However, the drowsiness is becoming a pretty big problem, especially when I am sleeping an average of 12 hours a day (mostly in 4-5 hour naps).",drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,lexapro.124,4,"Night sweating happens about twice a week, and is a pretty small side effect.",Night sweating happens about twice a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,lexapro.125,1,"low sex drive, weight gain, headache, irritable bowel, fatigue, spaciness.",low sex drive,weight gain,headache,irritable bowel,fatigue,spaciness,,,,,,,,,,,,,,,,,,,,,,,,
406,lexapro.125,2,"love my husband but just do not feel like having sex very often, I can go sexless for months!",do not feel like having sex very often,can go sexless for months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,lexapro.125,3,"helps me in my job which is high energy and high stress, headaches can be debilitating and twice I had to be picked up from work because the headaches came on so strong I couldn't drive myself home",headaches can be debilitating,couldn't drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,lexapro.126,1,"Hair loss!, rashes, sexual loss.",Hair loss,rashes,sexual loss,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,lexapro.126,2,"I was very suicidal when put on Lexapro and it helped me relax a great deal, I was so much more happy on it but had to stop taking it due to it causing hair loss and it killed my sex drive and feeling.",hair loss,killed my sex drive ,killed my feeling,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,lexapro.126,3,I did act like a jerk on it as well a few times.,act like a jerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,lexapro.126,4,Although if it wasn't for the hair loss and sexual side effects I would of stayed on it.,hair loss,sexual side effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,lexapro.128,1,"Nausea on the first day, nightmares, racing heart, unable to have orgasm.",Nausea on the first day,nightmares,racing heart,unable to have orgasm,,,,,,,,,,,,,,,,,,,,,,,,,,
413,lexapro.128,2,Even with all the side effects I really think Lexapro is the right choice for me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,lexapro.129,1,Severe night sweats.,Severe night sweats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,lexapro.129,2,Helped with depression after postpartum but I am considering trying to stop due to severe night sweats & cost of Lexapro.,severe night sweats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,lexapro.130,1,"Dry mouth, subsidized sex drive, first few weeks experienced tiredness and felt very foggy.",Dry mouth,subsidized sex drive,first few weeks experienced tiredness,felt very foggy,,,,,,,,,,,,,,,,,,,,,,,,,,
417,lexapro.130,7,My benefits definitely outweigh the side effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,lexapro.131,1,"Dry mouth the first month and then later bouts of extreme thirst, I think it also gives me headaches and neckaches, but I am not sure because I was diagnosed with migraines previous to this medicine.",Dry mouth the first month,extreme thirst,headaches,neckaches,,,,,,,,,,,,,,,,,,,,,,,,,,
419,lexapro.131,4,I've tried quite a few antidepressants and this one seems to be the one that handles my depression and I can live with the side effects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,lexapro.132,1,"Dizziness, nausea, headache, foggy, loss of appetite, weight loss, increased irritability and anger,",Dizziness,nausea,headache,foggy,loss of appetite, weight loss,increased irritability,anger,,,,,,,,,,,,,,,,,,,,,,
421,lexapro.133,2,"increase in anxiety, weird floating feeling, sweaty palms, nausea, heartburn, waking up in middle of night for no reason, sexual performance issues.",increase in anxiety,weird floating feeling,sweaty palms,nausea,heartburn,waking up in middle of night ,sexual performance issues,,,,,,,,,,,,,,,,,,,,,,,
422,lexapro.133,4,"weight gain, yawning fits, daytime sleepiness.",weight gain,yawning,daytime sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,lexapro.133,14,weight gain and sleepiness .,weight gain,sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,lexapro.134,1,"The first month is somewhat an experience, with varing degrees of dizziness, nausea, headaches and a feeling of not-being-right.",dizziness,nausea,headaches,feeling of not-being-right,,,,,,,,,,,,,,,,,,,,,,,,,,
425,lexapro.135,1,"vivid dreams, no sex drive, dry mouth, i get sick when i drink alcohol.",vivid dreams,no sex drive,dry mouth,get sick when i drink alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,
426,lexapro.135,4,I kind of like having dreams-i never used to have them/remember them.,having dreams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,lexapro.136,1,"Teeth Clenching, Insomnia at night and exhaustion durring the day.",Teeth Clenching,Insomnia,exhaustion,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,lexapro.136,2,"Reduced sex drive, 75% less ability to reach orgasm.",Reduced sex drive, less ability to reach orgasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,lexapro.136,4,I find that at night I have a harder time falling asleep and then durring the day im exhausted.,harder time falling asleep,exhausted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,lexapro.136,5,"I have the opposite of the ""weight gain"" problems as I seem to be losing weight now.",losing weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,lexapro.136,6,I do have lethargy.,lethargy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,lexapro.136,7,where as I don't really want to do anything now durring the day.,don't really want to do anything ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,lexapro.137,1,Killed my sex drive.,Killed my sex drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,lexapro.137,2,"No libido whatsoever, Emotionless.",No libido,Emotionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,lexapro.137,3,"It helped my depression tremendously, but sexual side effects are severe in my case.",sexual side effects are severe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,lexapro.138,1,"Nausea, stomach upsets.",Nausea,stomach upsets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,lexapro.138,3,"Possible side affect was reduced sexual desire, but my doctor said this could be just from the depression and stress itself.",reduced sexual desire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,lexapro.139,1,"nausea, loss of appetite, trouble sleeping.",nausea,loss of appetite,trouble sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,lexapro.139,3,The side effects got better after 2 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,lexapro.139,4,"Then I got lazy and wasn't consistent about taking it and whenever I tried to take it again I'd deal with horrible nausea, so I weaned off.",nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,lexapro.139,6,I'm dealing with mild nausea but feel the calming affects.,mild nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,lexapro.139,11,"When my side effects are difficult to deal with, I remember that a debilitating major depressive episode, wanting to curl up and die, is FAR worse and I am thankful that I have options to help me live a normal life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,lexapro.140,1,"All these happened the day of my first pill: Light headed, Dizzy, Extreme tiredness, Diarrhea, Jaw muscles tightening & clenching, Stuffy nose, migraine, Foggy, Zoning/trancelike, Apathy, Cold & chills, Trouble focusing eyes, Confusion, Nausea, Jaw clenching, Sweaty palms, Time/space discontinuity, Cant catch my breath, Tiredness or energetic, Memory loss, Tremors & twitching, Yawning, disorientation, Convulsions, 10mg.",Light headed,Dizzy,Extreme tiredness,Diarrhea,Jaw muscles tightening,Jaw muscles clenching,Stuffy nose,migraine,Foggy,Zoning,trancelike,Apathy,Cold & chills, Trouble focusing eyes,Confusion,Nausea,Jaw clenching,Sweaty palms,Time discontinuity,space discontinuity,Cant catch my breath,Tiredness or energetic, Memory loss,Tremors,twitching,Yawning,disorientation,Convulsions,,
444,lexapro.140,4,"The side effects were severe, but diminished as time passed, and have become tolerable within 2-3 months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,lexapro.140,8,"When I start a 'new' 30 day batch of pills, I go through minor side effects for a few days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,lexapro.140,9,"I'm a stay-at-hme-dad of toddler & infant and am glad that I'm not depressed with anxiety while raising them, That said, I can't wait until I'm ready to stop, WEIGHT GAIN: 6,7%",WEIGHT GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,lexapro.141,2,I had alot of dizziness and it was so bad I felt like passing out every time I yawned  (Sounds weird I Know).But that eventually stopped.,alot of dizziness,yawned,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,lexapro.141,3,It also killed sex drive.,killed sex drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,lexapro.141,4,"It was distressing at first but within a few weeks my sex drive worked again,but at a much more ""normal"" rate,which I greatly appreciate, I feel I was to horny before.",distressing at first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,lexapro.141,5,"I have had some weight gain,however my weight normally changes based on the time of year.",some weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,lexapro.141,8,"I also have a horrible mountain dew addiction,but my weight gain has been small and my clothes still fit so I am not all that upset.",horrible mountain dew addiction,weight gain has been small,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,lexapro.142,1,teeth grinding trouble sleeping.,teeth grinding,trouble sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,lexapro.143,1,"naseua, lower sex drive, extreme fatigue.",naseua,lower sex drive,extreme fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,lexapro.143,5,I can handle the side effects because I've felt so good over the past month.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,lexapro.144,3,had Insomnia so i took benadryl.,Insomnia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,lexapro.144,4,loss of appetite,loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,lexapro.145,1,"grogginess, nausea, dry mouth, frequent urination.",grogginess,nausea,dry mouth,frequent urination,,,,,,,,,,,,,,,,,,,,,,,,,,
458,lexapro.145,4,It increases the effect of alcohol and caffeine so I have to be careful with those.,increases the effect of alcohol,increases the effect of caffeine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,lexapro.146,1,"Loss of libido, Difficulty reaching orgasm, fatigue I feel tired most of the time, yawning, dry mouth,weight gain.",Loss of libido,Difficulty reaching orgasm,feel tired,yawning,dry mouth,weight gain,,,,,,,,,,,,,,,,,,,,,,,,
460,lexapro.146,6,The biggest complaint I have is the fatigue and loss of sex drive/orgasm and weight gain.,fatigue,loss of sex drive,loss of orgasm,weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,
461,lexapro.147,1,"Drowsiness, anorgasmia (which may cause me to add or switch to Welbutrin).",Drowsiness,anorgasmia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,lexapro.148,1,Mild itching and headaches.,Mild itching,headaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,lexapro.149,1,"lose bowels, sexual side effects, Very effective, but if you miss a dose for 1-2 days, it can really cause problems (Dizziness, nausea)",lose bowels,sexual side effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,lexapro.150,1,"Severe insomnia first week, almost constant nausea, migraines, intense panic first couple nights.",Severe insomnia first week,almost constant nausea,migraines,intense panic first couple nights,,,,,,,,,,,,,,,,,,,,,,,,,,
465,lexapro.151,1,Decreased sex drive and ejaculation delay.,Decreased sex drive ,ejaculation delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,lexapro.152,1,"constipation, fatigue, weight gain, blocked tears and sad feelings that still existed inside of me.",constipation,fatigue,weight gain,blocked tears ,,,,,,,,,,,,,,,,,,,,,,,,,,
467,lexapro.152,10,"I am sleeping more deeply now, without the intense anxious dreams that I had on the drugs.",intense anxious dreams ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,lexapro.153,1,"Nausea (severe at times), occasional tremors, delayed orgasm, hot flashes.",Nausea (severe at times),occasional tremors,delayed orgasm,hot flashes,,,,,,,,,,,,,,,,,,,,,,,,,,
469,lexapro.153,3,"I went to sleep, then woke up a couple hours later feeling extremely nauseous.",feeling extremely nauseous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,lexapro.153,4,"All of the sudden a hot flash shot throughout my body, my heart skipped several beats, and I felt like I was going to die for a minute.",hot flash shot ,heart skipped several beats,felt like I was going to die,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,lexapro.153,5,"I gradually calmed down and sweated profusely, That said, Lexy ain't all bad.",sweated profusely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,lexapro.153,7,"My emotional range might be a little muted (I don't cry nearly as much), but I still feel like myself.",emotional range might be a little muted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,lexapro.154,1,"Initial-brain zaps, headache, fatigue: all went away after 2 weeks Later-Weight gain.",Initial-brain zaps went away after 2 weeks,headache went away after 2 weeks,"fatigue, went away after 2 weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,
474,lexapro.154,7,I have gained weight that I have been unable to lose with diet/exercise.,gained weight,unable to lose with diet/exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,lexapro.155,1,"I had hand shakes,warmness in my body,very energized,mood was alot better,sweating,pretty bad insomnia which i did not like.",hand shakes,warmness in my body,very energized,sweating,pretty bad insomnia ,,,,,,,,,,,,,,,,,,,,,,,,,
476,lexapro.155,2,Loss in appetite but i think it is going to work hopefully.,Loss in appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,lexapro.156,7,"When all is said and done, and after taking so many other AD's that have really messed me up, this is by far the best, with the least amount of side effects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,lexapro.157,1,VIVID DREAMS!,VIVID DREAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,lexapro.157,5,"Within a few days of starting lexapro oh my god the dreams are vivid, intense, long, and complex!","dreams are vivid, intense, long, and complex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,lexapro.157,6,And I can remember every detail of them when i wake up in the morning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,lexapro.157,7,"It Feels like im living in 2 different worlds, my daytime world and dream world.","Feels like im living in 2 different worlds, my daytime world and dream world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,lexapro.157,8,"Each seems as real as the other, So bizarre!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,lexapro.157,9,"I must say I absolutly love this side effect, I cant believe its been so marked though I didnt expect it at all!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,lexapro.158,1,Jaw clenching; difficulty achieving orgasm; fatigue.,Jaw clenching,difficulty achieving orgasm,fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,lexapro.159,1,"Shakes, sweating, difficulty sleeping, diarrhea, high blood pressure, Increased orgasms.",Shakes,sweating,difficulty sleeping,diarrhea,high blood pressure,Increased orgasms,,,,,,,,,,,,,,,,,,,,,,,,
486,lexapro.159,4,"The diarrhea and sweating really bugged me, though, Surprisingly, this strengthened my libido and orgasms.",diarrhea really bugged me,sweating really bugged me,strengthened my libido,strengthened my orgasms,,,,,,,,,,,,,,,,,,,,,,,,,,
487,lexapro.160,1,"dry mouth, slight rash, headaches early on, slight fatigue, delayed ejaculation.",dry mouth,slight rash,headaches early on,slight fatigue,delayed ejaculation,,,,,,,,,,,,,,,,,,,,,,,,,
488,lexapro.161,1,Nausea & yawning for 1st month .,Nausea for 1st month,yawning for 1st month,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,lexapro.161,2,"Over last 6 months: difficulty reaching orgasm (F), loss of impulse control resulting in financial debt, increase in risky behavior, mania, lack of empathy, lack of emotional reactivity (haven't shed a single tear in over 6 months).",difficulty reaching orgasm ,loss of impulse control,increase in risky behavior,mania,lack of empathy,lack of emotional reactivity,,,,,,,,,,,,,,,,,,,,,,,,
490,lexapro.162,1,"Stomach discomfort, initially some night sweats, jaw clenching.",Stomach discomfort,initially some night sweats,jaw clenching,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,lexapro.162,3,The most immediate side-effect noticed was extreme stomach discomfort.,extreme stomach discomfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,lexapro.162,4,"It's not like a sore stomach, but it feels like your abdomen is tensed up, which I initially mistook for a sign of additional anxiety, However, according to my doctor this tension in the stomach area is purely a chemical reaction to the medicine and not connected with an emotional state.",abdomen is tensed up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,lexapro.162,6,"This stomach discomfort has faded about 75%, as my body acclimates to the drug.",stomach discomfort has faded about 75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,lexapro.162,7,"I initially also experienced extreme night sweats and some jaw clencing at night, but these passed within a week.",initially extreme night sweats ,some jaw clencing at night passed within a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,lexapro.162,11,"My sex drive seems a little low, but it has not been that active for a couple ye",sex drive seems a little low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,lexapro.164,1,"Dilated pupils, sleepiness, dizziness first few days, inability to cry, anxiety.",Dilated pupils,sleepiness,dizziness first few days,inability to cry,anxiety,,,,,,,,,,,,,,,,,,,,,,,,,
497,lexapro.164,6,At times I felt very anxious for no reason and at different times in the day but these negative side effects paled next to the depression i was stuck in before lexapro.,"At times, felt very anxious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,lexapro.166,1,All side effects went away within 3 weeks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,lexapro.167,1,"Dry mouth, weight gain, slightly moody, irritable.",Dry mouth,weight gain,slightly moody,irritable,,,,,,,,,,,,,,,,,,,,,,,,,,
500,lexapro.168,1,I have found myself waking up every 2-3 hours and general fatigue during the day.,waking up every 2-3 hours ,general fatigue during the day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,lexapro.168,2,Loss of appetite.,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,lexapro.168,3,"Since starting Lexapro about a month ago, have found myself extremely constipated, which I am assuming is a side effect.",extremely constipated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,lexapro.168,4,Also lack of sex drive.,lack of sex drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,lexapro.168,5,"After listing all of the side effects, it may sound funny to say this, but I have loved Lexapro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,lexapro.168,8,barely any anxiety or major depression symptoms which has made it easier to deal with the physical side effects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,lexapro.169,1,"upset stomach, head was foggy but went away after few weeks , nights sweats, loss of memory seems to be ongoing (short term memory).",upset stomach,head was foggy but went away after few weeks,nights sweats,loss of memory seems to be ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,
507,lexapro.169,4,"i have taken it for 2 years and feel great, very little to no anxiety at all, some weight gain.",some weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,lexapro.174,1,"Mild sleeplessness, unsatisfying yawns that went away after a month or so.",Mild sleeplessness,unsatisfying yawns that went away after a month ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,lexapro.174,2,"What I hate most though is the clenching of the jaw, That hasn't gone away, Overall, I'm happy with Lexapro.","clenching of the jaw, That hasn't gone away",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,lexapro.174,3,I'm relieved to see that a lot of you are reporting clenching of the jaw.,clenching of the jaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,lexapro.174,4,"I thought there was something seriously wrong with mine, so I'm glad to know it is a side effect and not something else.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,lexapro.175,1,"increased anxiety, sleeplessness, increased appetite, increased sensitivity, BUT only for first few weeks of upping dosage.","increased anxiety , only for first few weeks","sleeplessness, only for first few weeks","increased appetite , only for first few weeks","increased sensitivity, only for first few weeks",,,,,,,,,,,,,,,,,,,,,,,,,,
513,lexapro.176,1,"headache, dizziness, loss of sex drive, insomnia.",headache,dizziness,loss of sex drive,insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,
514,lexapro.176,4,I had headaches the first few days but those have already gone away.,headaches the first few days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,lexapro.177,1,Weight gain; supressed sex drive; lots of sleeping.,Weight gain,supressed sex drive,lots of sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,lexapro.178,3,I checked myself into the ER 3x in one week certain that I was dying.,checked myself into the ER 3x in one week ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,lexapro.178,4,I vomited for three days straight.,vomited for three days straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,lexapro.178,5,Heart palpitations for 2 weeks.,Heart palpitations for 2 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,lexapro.178,6,"Along with the ""brain zaps"" people tell about.",brain zaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,lexapro.178,7,And a feeling of eminent doom 24/7)  Like you just saw a dog get hit by a car.,feeling of eminent doom 24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,lexapro.179,1,Sleepiness.,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,lexapro.179,2,"all the time, yet will have trouble falling asleep at night, can nap for half a day no problem.",trouble falling asleep at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,lexapro.179,3,"Jaw clenching at night and during the day, Nausea, Stomache pain, loose bowel movements, followed by constipation, Feeling dehydrated, and dry mouth, Headaches, blurred vision, increased episodes of vertigo.",Jaw clenching,Nausea,Stomache pain,loose bowel movements,constipation,Feeling dehydrated,dry mouth,Headaches, blurred vision, increased episodes of vertigo,,,,,,,,,,,,,,,,,,,,
524,lexapro.179,4,"Some initial weight gain, but has now setteled down and am experiencing the reverse.",Some initial weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,lexapro.179,5,Episodes of ravenous hunger and loss of appetite.,Episodes of ravenous hunger,Episodes of loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,lexapro.179,6,Indifference to food.,Indifference to food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,lexapro.179,7,"Difficulty achieving orgasm, less intense orgasm.",Difficulty achieving orgasm,less intense orgasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,lexapro.179,8,Despite the many side effects I love this drug.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,lexapro.179,11,Did gain some weight but after being on the drug for 9 months that seems to have settled down.,gain some weight; seems to have settled down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,lexapro.179,13,My appetite has lowered significantly since being on higher dose.,appetite has lowered significantly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,lexapro.179,14,"The fatigue and sleepiness is a pain, but am willing to put up with it as it beats not being able to get out of bed.",fatigue,sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,lexapro.180,1,takes much longer to climax.,takes much longer to climax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,lexapro.180,2,at first some 'hung-over' feeling.,at first 'hung-over' feeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,lexapro.180,3,It's very hard to cry.,very hard to cry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,lexapro.182,2,Lost weight at first.,Lost weight at first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,lexapro.183,1,"Sleepy, lethargic, zombie like state.",Sleepy,lethargic,zombie like state,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,lexapro.184,1,lower libido than usual.,lower libido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,lexapro.185,2,Side effects were sleepiness and excessive sweating.,sleepiness,excessive sweating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,lexapro.185,11,"The excessive sweating seems to have stopped about a week ago, sex drive has been as great as always, and right now at 5mg Lex with 1 1/2 mg of Alprazolam a day.",excessive sweating seems to have stopped about a week ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,lexapro.186,1,"Loss of sex drive; massive weight gain, forgetfulness.",Loss of sex drive,massive weight gain,forgetfulness,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,lexapro.186,5,I went up to 20mg and found I was putting on a lot of weight.,putting on a lot of weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,lexapro.187,1,"Tiredness a few hours after taking, ""the munchies"" -> some weight gain, dulled emotions (though this improved with time), slight sexual side effects.",Tiredness ,"""the munchies""",some weight gain,"dulled emotions, improved with time",slight sexual side effects,,,,,,,,,,,,,,,,,,,,,,,,,
543,lexapro.187,5,Side effects are annoying but a small price to pay for my life back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,lexapro.188,1,Sweating at night.,Sweating at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,lexapro.188,2,"Initial weight gain, but have since lost it.",Initial weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,lexapro.188,3,Other than an initial difficulty reaching orgasm I've had no problems achieving orgasm after the first 4-6 weeks of being on Lexapro.,initial difficulty reaching orgasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,lexapro.189,7,"Until I woke up nauseous, as soon as I ate I was fine, 2nd day: no side effects.",nauseous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,lexapro.189,8,"I was social, but that night woke up at 2:15 sweating and in a terrible panic attack(not from a dream) but heart racing, swallowed breath, felt emotionally traumatized.",sweating,terrible panic attack,heart racing,swallowed breath,felt emotionally traumatized,,,,,,,,,,,,,,,,,,,,,,,,,
549,lexapro.189,11,"Over all I'd say these side effects are much easier go deal with than before & am very happy to be on the route to a steady, happy life!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,lexapro.191,1,WEIGHT GAIN first two weeks a little dizzy.,WEIGHT GAIN,first two weeks a little dizzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,lexapro.191,2,"then fine must take in AM, keeps me awake at night, love it, amazing.",keeps me awake at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,lexapro.192,1,some weight gain.,some weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,lexapro.193,1,"Bad: Nauseated and jittery for the first few days, like a sugar crash or a caffeine high, Good: I am sleeping like a baby for the first time in years.",Nauseated for the first few days,jittery for the first few days,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,lexapro.194,1,First three days of taking Lexapro to made my head feel like it was going to blow up.,First three days head feel like it was going to blow up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,lexapro.194,2,"There was a lot of pressure, After that, day four was when I felt great.",a lot of pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,lexapro.195,1,"Help with anxiety and depression (bipolar related) Had dry mouth for a month when first starting it, None",dry mouth for a month ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,lexapro.196,1,"Slight headache, upset stomach, decreased libidio but able to climax, slight increase in anxiety in the begining, increased dreaming.",Slight headache,upset stomach,decreased libidio,slight increase in anxiety in the begining,increased dreaming,,,,,,,,,,,,,,,,,,,,,,,,,
558,lexapro.197,1,weight gain.,weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,lexapro.197,3,"I have been on Lexapro for a while and my doctor took me off and switched me to Wellbutrin because I had gained 18 pounds in 2 months, BIG MISTAKE.",gained 18 pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
